상품 번호,상품 카테고리,가격 카테고리,상품 명,상품 가격,"고객사 추천여부(시즌상품, 에디션 등)",상품 이미지 명
1,6,1,여성 지갑 1,50000,네,여성 지갑 1.png
2,1,1,여성 향수 1,280000,네,여성 향수 1.png
3,3,1,여성 의류 1,510000,아니오,여성 의류 1.png
4,1,1,여성 향수 2,740000,아니오,여성 향수 2.png
5,6,1,여성 지갑 2,970000,아니오,여성 지갑 2.png
6,3,1,여성 의류 2,1200000,아니오,여성 의류 2.png
7,6,2,여성 지갑 3,1430000,아니오,여성 지갑 3.png
8,6,2,여성 지갑 4,1660000,네,여성 지갑 4.png
9,1,2,여성 향수 3,1890000,아니오,여성 향수 3.png
10,6,2,여성 지갑 5,2120000,아니오,여성 지갑 5.png
11,3,2,여성 의류 3,2350000,아니오,여성 의류 3.png
12,2,2,여성 핸드백 1,2580000,네,여성 핸드백 1.png
13,1,3,여성 향수 4,2810000,네,여성 향수 4.png
14,4,3,여성 악세사리 1,3040000,아니오,여성 악세사리 1.png
15,4,3,여성 악세사리 2,3270000,아니오,여성 악세사리 2.png
16,1,3,여성 향수 5,3500000,네,여성 향수 5.png
17,4,3,여성 악세사리 3,3730000,아니오,여성 악세사리 3.png
18,3,3,여성 의류 4,3960000,아니오,여성 의류 4.png
19,2,4,여성 핸드백 2,4190000,아니오,여성 핸드백 2.png
20,4,4,여성 악세사리 4,4420000,아니오,여성 악세사리 4.png
21,5,4,여성 주얼리 1,4650000,아니오,여성 주얼리 1.png
22,2,4,여성 핸드백 3,4880000,네,여성 핸드백 3.png
23,3,4,여성 의류 5,5110000,네,여성 의류 5.png
24,2,4,여성 핸드백 4,5340000,아니오,여성 핸드백 4.png
25,4,5,여성 악세사리 5,5570000,아니오,여성 악세사리 5.png
26,2,5,여성 핸드백 5,5800000,아니오,여성 핸드백 5.png
27,5,5,여성 주얼리 2,6030000,아니오,여성 주얼리 2.png
28,5,5,여성 주얼리 3,6260000,아니오,여성 주얼리 3.png
29,5,5,여성 주얼리 4,6490000,아니오,여성 주얼리 4.png
30,5,5,여성 주얼리 5,6720000,아니오,여성 주얼리 5.png
